,latitude,longitude
2022-05-08 22:30:42,78.644558,-7.117812
2022-05-08 23:00:38,78.640271,-7.123889
2022-05-08 23:30:38,78.63597,-7.131075
2022-05-09 00:00:38,78.632091,-7.139365
2022-05-09 00:30:26,78.62834,-7.148237
2022-05-09 01:00:39,78.624665,-7.157465
2022-05-09 01:30:39,78.62137,-7.166477
2022-05-09 02:00:38,78.618134,-7.176752
2022-05-09 02:30:37,78.615352,-7.185972
2022-05-09 03:00:37,78.612471,-7.194672
2022-05-09 03:30:26,78.609414,-7.200963
2022-05-09 04:00:37,78.606048,-7.205972
2022-05-09 04:30:39,78.602212,-7.209184
2022-05-09 05:00:38,78.598491,-7.212225
2022-05-09 05:30:38,78.594588,-7.215143
2022-05-09 06:00:38,78.59057,-7.217556
2022-05-09 06:30:26,78.586535,-7.219671
2022-05-09 07:00:38,78.582511,-7.222002
2022-05-09 07:30:39,78.578546,-7.224555
2022-05-09 08:00:39,78.574463,-7.226565
2022-05-09 08:30:41,78.570043,-7.22912
2022-05-09 09:00:40,78.565438,-7.232188
2022-05-09 09:30:29,78.560465,-7.235916
2022-05-09 10:00:38,78.555101,-7.240273
2022-05-09 10:30:37,78.549486,-7.246172
2022-05-09 11:00:38,78.543842,-7.252654
2022-05-09 11:30:38,78.537983,-7.260784
2022-05-09 12:00:40,78.532114,-7.270311
2022-05-09 12:30:27,78.526351,-7.280111
2022-05-09 13:00:37,78.520733,-7.289904
2022-05-09 13:30:38,78.515016,-7.299227
2022-05-09 14:00:38,78.509585,-7.306919
2022-05-09 14:30:40,78.50473,-7.311061
2022-05-09 15:00:38,78.500171,-7.314037
2022-05-09 15:30:29,78.495797,-7.314738
2022-05-09 16:00:37,78.491598,-7.314053
2022-05-09 16:30:40,78.487343,-7.312673
2022-05-09 17:00:38,78.482451,-7.313037
2022-05-09 17:30:39,78.476964,-7.314092
2022-05-09 18:00:38,78.471145,-7.315091
2022-05-09 18:30:26,78.465329,-7.316204
2022-05-09 19:00:39,78.459538,-7.318656
2022-05-09 19:30:38,78.453992,-7.32157
2022-05-09 20:00:38,78.448455,-7.325313
2022-05-09 20:30:40,78.443135,-7.329783
2022-05-09 21:00:38,78.438339,-7.333746
2022-05-09 21:30:28,78.433728,-7.337946
2022-05-09 22:00:40,78.429114,-7.343601
2022-05-09 22:30:39,78.424738,-7.349993
2022-05-09 23:00:38,78.420488,-7.356711
2022-05-09 23:30:37,78.41639,-7.363269
2022-05-10 00:00:39,78.412437,-7.3703
2022-05-10 00:30:30,78.408586,-7.377163
2022-05-10 01:00:37,78.404799,-7.384198
2022-05-10 01:30:38,78.401246,-7.392021
2022-05-10 02:00:40,78.397913,-7.400176
2022-05-10 02:30:39,78.39474,-7.407237
2022-05-10 03:00:38,78.391861,-7.411798
2022-05-10 03:30:27,78.388963,-7.414326
2022-05-10 04:00:38,78.386141,-7.415698
2022-05-10 04:30:39,78.383346,-7.416198
2022-05-10 05:00:38,78.380423,-7.415946
2022-05-10 05:30:38,78.377436,-7.414951
2022-05-10 06:00:37,78.374228,-7.413773
2022-05-10 06:30:27,78.370828,-7.412701
2022-05-10 07:00:38,78.367292,-7.411676
2022-05-10 07:30:38,78.363739,-7.411329
2022-05-10 08:00:39,78.360128,-7.411351
2022-05-10 08:30:38,78.356425,-7.412104
2022-05-10 09:00:38,78.352738,-7.413413
2022-05-10 09:30:29,78.349195,-7.415225
2022-05-10 10:00:38,78.34573,-7.417924
2022-05-10 10:30:38,78.34212,-7.419156
2022-05-10 11:00:41,78.338443,-7.420519
2022-05-10 11:30:38,78.334786,-7.426127
2022-05-10 12:00:39,78.331613,-7.432286
2022-05-10 12:30:27,78.328606,-7.436749
2022-05-10 13:00:39,78.325544,-7.442251
2022-05-10 13:30:38,78.322643,-7.448307
2022-05-10 14:00:38,78.31999,-7.454588
